Clusters under investigation,Location,Total to date,New cases in last 24 hours,Origin
Marist College,Auckland,93,8,Unknown
Wedding,Bluff,86,0,Overseas exposure
Hospitality venue,Matamata,71,0,Overseas exposure
Private function,Auckland,35,0,Unknown
Aged residential care facility (1),Christchurch,34,1,Unknown
World Hereford Conference,Queenstown,33,0,Overseas exposure
Community,Auckland,29,0,Unknown
Ruby Princess cruise ship,Hawke’s Bay,18,0,Overseas exposure
Group travel to US,Wellington,16,0,Overseas exposure
Aged residential care facility (2),Christchurch,16,0,Unknown
Group travel to US,Auckland,15,0,Overseas exposure
Aged residential care facility,Auckland,15,5,Unknown
Aged residential care facility,Waikato,14,0,Overseas exposure
Wedding,Wellington,13,0,Overseas exposure
Community,Christchurch,10,0,Overseas exposure
