Clusters under investigation,Location,Total to date,New cases in last 24 hours,Origin
Marist College,Auckland,92,-1,Unknown
Wedding,Bluff,89,3,Overseas exposure
Hospitality venue,Matamata,72,1,Overseas exposure
Private function,Auckland,38,3,Unknown
Aged residential care facility (1),Christchurch,35,1,Unknown
World Hereford Conference,Queenstown,33,0,Overseas exposure
Community,Auckland,30,1,Unknown
Ruby Princess cruise ship,Hawke’s Bay,19,1,Overseas exposure
Aged residential care facility (2),Christchurch,19,3,Unknown
Group travel to US,Wellington,16,0,Overseas exposure
Group travel to US,Auckland,15,0,Overseas exposure
Aged residential care facility (1),Auckland,15,0,Unknown
Aged residential care facility,Waikato,14,0,Overseas exposure
Wedding,Wellington,13,0,Overseas exposure
Community,Christchurch,10,0,Overseas exposure
Aged residential care facility (2),Auckland,10,5,Overseas exposure
